time_s,length_cm
9.966814609782931,0.05006135890490586
19.933629219565862,0.02503067945245293
29.90044382934879,0.02503067945245293
39.867258439131724,0.0
49.834073048914654,0.07509203835735878
59.80088765869758,0.0
69.76770226848052,0.08760737808358525
79.73451687826345,0.0
89.70133148804638,0.0
99.66814609782931,0.0
109.63496070761224,0.0
119.60177531739517,0.0
129.5685899271781,0.0
139.53540453696104,0.0
149.50221914674395,0.0
159.4690337565269,0.012515339726226465
169.4358483663098,0.0
179.40266297609276,0.0
189.36947758587567,0.0
199.33629219565861,0.23779145479830283
209.30310680544156,0.0
219.26992141522447,0.0
229.23673602500742,0.0
239.20355063479033,0.0
249.17036524457328,0.0
259.1371798543562,0.0
269.10399446413913,0.0
279.0708090739221,0.0
289.037623683705,0.0
299.0044382934879,0.0
308.97125290327085,0.0
318.9380675130538,0.012515339726226465
328.90488212283674,0.0
338.8716967326196,0.0
348.83851134240257,0.02503067945245293
358.8053259521855,0.0
368.77214056196846,0.0
378.73895517175134,0.0
388.7057697815343,0.012515339726226465
398.67258439131723,0.0
408.6393990011002,0.0
418.6062136108831,0.0
428.573028220666,0.0
438.53984283044895,0.0
448.5066574402319,0.0
458.47347205001483,0.0
468.4402866597977,0.0
478.40710126958066,0.0
488.3739158793636,0.0
498.34073048914655,0.0
508.3075450989295,0.0
518.2743597087124,0.0
528.2411743184954,0.0
538.2079889282783,0.0
548.1748035380612,0.0
558.1416181478442,0.0
568.108432757627,0.0
578.07524736741,0.0
588.0420619771929,0.0
598.0088765869758,0.0
607.9756911967588,0.0
617.9425058065417,0.0
627.9093204163246,0.0
637.8761350261076,0.0
647.8429496358905,0.0
657.8097642456735,0.0
667.7765788554564,0.0
677.7433934652393,0.0
687.7102080750223,0.0
697.6770226848051,0.0
707.6438372945881,0.0
717.610651904371,0.02503067945245293
727.5774665141539,0.0
737.5442811239369,0.0
747.5110957337198,0.0
757.4779103435027,0.0
767.4447249532857,0.0
777.4115395630686,0.0
787.3783541728516,0.0
797.3451687826345,0.0
807.3119833924173,0.0
817.2787980022003,0.0
827.2456126119832,0.0
837.2124272217662,0.0
847.1792418315491,0.0
857.146056441332,0.0
867.112871051115,0.0
877.0796856608979,0.0
887.0465002706809,0.0
897.0133148804638,0.0
906.9801294902467,0.0
916.9469441000297,0.02503067945245293
926.9137587098126,0.0
936.8805733195954,0.0
946.8473879293784,0.0
956.8142025391613,0.0
966.7810171489443,0.0
976.7478317587272,0.0
986.7146463685101,0.0
996.6814609782931,0.0
1006.648275588076,0.0
1016.615090197859,0.0
1026.5819048076419,0.0
1036.5487194174248,0.0
1046.5155340272077,0.02503067945245293
1056.4823486369908,0.0
1066.4491632467737,0.0
1076.4159778565565,0.0
1086.3827924663394,0.0
1096.3496070761223,0.0
1106.3164216859054,0.0
1116.2832362956883,0.0
1126.2500509054712,0.0
1136.216865515254,0.0
1146.183680125037,0.0
1156.15049473482,0.0
1166.117309344603,0.0
1176.0841239543859,0.0
1186.0509385641687,0.0
1196.0177531739516,0.0
1205.9845677837345,0.0
1215.9513823935176,0.0
1225.9181970033005,0.0
1235.8850116130834,0.0
1245.8518262228663,0.0
1255.8186408326492,0.0
1265.7854554424323,0.0
1275.7522700522152,0.0
1285.719084661998,0.0
1295.685899271781,0.0
1305.6527138815638,0.0
1315.619528491347,0.0
1325.5863431011298,0.0
1335.5531577109127,0.0
1345.5199723206956,0.0
1355.4867869304785,0.0
1365.4536015402616,0.0
1375.4204161500445,0.0
1385.3872307598274,0.0
1395.3540453696103,0.0
1405.3208599793932,0.0
1415.2876745891763,0.0
1425.2544891989592,0.0
1435.221303808742,0.0
1445.188118418525,0.0
1455.1549330283078,0.0
1465.121747638091,0.0
1475.0885622478738,0.0
1485.0553768576567,0.0
1495.0221914674396,0.0
1504.9890060772225,0.0
1514.9558206870054,0.0
1524.9226352967885,0.0
1534.8894499065714,0.0
1544.8562645163543,0.0
1554.8230791261371,0.0
1564.78989373592,0.0
1574.7567083457031,0.0
1584.723522955486,0.0
1594.690337565269,0.0
1604.6571521750518,0.0
1614.6239667848347,0.0
1624.5907813946178,0.0
1634.5575960044007,0.0
1644.5244106141836,0.0
1654.4912252239665,0.0
