time_s,area_cm2
9.999390812940689,1.6738000000000002
19.998781625881378,2.0932
29.998172438822067,2.3306
39.997563251762756,2.3295
49.996954064703445,2.3312500000000003
59.996344877644134,2.3287
69.99573569058482,2.32865
79.99512650352551,2.3279
89.9945173164662,2.3295
99.99390812940689,2.32365
109.99329894234758,2.3226
119.99268975528827,2.32255
129.99208056822894,2.3227
139.99147138116965,2.3225000000000002
149.99086219411032,2.3197
159.99025300705102,2.32205
169.9896438199917,2.3207500000000003
179.9890346329324,2.32025
189.98842544587308,2.3190500000000003
199.98781625881378,2.3188500000000003
209.98720707175445,2.31795
219.98659788469516,2.3222
229.98598869763583,2.32145
239.98537951057654,2.32355
249.9847703235172,2.3200000000000003
259.9841611364579,2.3266500000000003
269.9835519493986,2.3235
279.9829427623393,2.32585
289.98233357527994,2.3305000000000002
299.98172438822064,2.33305
309.98111520116134,2.3350500000000003
319.98050601410205,2.3375500000000002
329.9798968270427,2.33875
339.9792876399834,2.33935
349.9786784529241,2.3438000000000003
359.9780692658648,2.3447
369.97746007880545,2.35445
379.97685089174615,2.3537500000000002
389.97624170468686,2.3612
399.97563251762756,2.3664
409.9750233305682,2.36655
419.9744141435089,2.3706
429.9738049564496,2.3808000000000002
439.9731957693903,2.3801
449.97258658233096,2.37975
459.97197739527167,2.3872
469.97136820821237,2.39405
479.97075902115307,2.3937
489.9701498340937,2.4052000000000002
499.9695406470344,2.40685
509.9689314599751,2.40635
519.9683222729158,2.423
529.9677130858565,2.4223
539.9671038987972,2.43315
549.9664947117378,2.4356
559.9658855246786,2.4316
569.9652763376192,2.4506
579.9646671505599,2.44495
589.9640579635006,2.4464
599.9634487764413,2.46685
609.962839589382,2.4654000000000003
619.9622304023227,2.4684
629.9616212152633,2.48205
639.9610120282041,2.4821500000000003
649.9604028411447,2.4868
659.9597936540854,2.492
669.9591844670261,2.49945
679.9585752799668,2.5129
689.9579660929076,2.51675
699.9573569058482,2.51725
709.9567477187888,2.5351500000000002
719.9561385317296,2.55255
729.9555293446703,2.5593
739.9549201576109,2.5623
749.9543109705517,2.5728
759.9537017834923,2.5656000000000003
769.9530925964331,2.56955
779.9524834093737,2.5881000000000003
789.9518742223144,2.6038
799.9512650352551,2.59785
809.9506558481958,2.6027500000000003
819.9500466611364,2.5926500000000003
829.9494374740772,2.6386000000000003
839.9488282870178,2.60955
849.9482190999586,2.6477
859.9476099128992,2.6256
869.9470007258399,2.66065
879.9463915387806,2.63865
889.9457823517213,2.67415
899.9451731646619,2.6510000000000002
909.9445639776027,2.65945
919.9439547905433,2.6711
929.943345603484,2.6965000000000003
939.9427364164247,2.67435
949.9421272293654,2.67965
959.9415180423061,2.7123
969.9409088552468,2.6878
979.9402996681874,2.72805
989.9396904811282,2.6944500000000002
999.9390812940688,2.71525
1009.9384721070095,2.7485500000000003
1019.9378629199502,2.69965
1029.937253732891,2.7300500000000003
1039.9366445458315,2.71125
1049.9360353587722,2.7401
1059.935426171713,2.7447
1069.9348169846537,2.7364
1079.9342077975944,2.7119500000000003
1089.933598610535,2.7281500000000003
1099.9329894234756,2.7161500000000003
1109.9323802364165,2.7254
1119.9317710493572,2.742
1129.9311618622978,2.736
1139.9305526752385,2.7318000000000002
1149.929943488179,2.74115
1159.9293343011198,2.7686
1169.9287251140606,2.74545
1179.9281159270013,2.75335
1189.927506739942,2.74775
1199.9268975528826,2.77115
1209.9262883658232,2.77735
1219.925679178764,2.74755
1229.9250699917047,2.75305
1239.9244608046454,2.7668
