time_s,area_cm2
9.999390812940689,1.6239000000000001
19.998781625881378,2.0621
29.998172438822067,2.2742
39.997563251762756,2.2831
49.996954064703445,2.27965
59.996344877644134,2.2837
69.99573569058482,2.2815000000000003
79.99512650352551,2.2830500000000002
89.9945173164662,2.28085
99.99390812940689,2.2769500000000003
109.99329894234758,2.27735
119.99268975528827,2.2771500000000002
129.99208056822894,2.2786
139.99147138116965,2.27325
149.99086219411032,2.27435
159.99025300705102,2.27565
169.9896438199917,2.2704500000000003
179.9890346329324,2.2716000000000003
189.98842544587308,2.27205
199.98781625881378,2.2725500000000003
209.98720707175445,2.27165
219.98659788469516,2.2701000000000002
229.98598869763583,2.26985
239.98537951057654,2.2708500000000003
249.9847703235172,2.27345
259.9841611364579,2.27
269.9835519493986,2.2765
279.9829427623393,2.27435
289.98233357527994,2.27625
299.98172438822064,2.2769500000000003
309.98111520116134,2.2808
319.98050601410205,2.28365
329.9798968270427,2.285
339.9792876399834,2.28785
349.9786784529241,2.29165
359.9780692658648,2.2946
369.97746007880545,2.29775
379.97685089174615,2.30595
389.97624170468686,2.3112
399.97563251762756,2.3126
409.9750233305682,2.31975
419.9744141435089,2.32315
429.9738049564496,2.3377000000000003
439.9731957693903,2.3314500000000002
449.97258658233096,2.34225
459.97197739527167,2.34785
469.97136820821237,2.3581000000000003
479.97075902115307,2.35865
489.9701498340937,2.3623000000000003
499.9695406470344,2.3695
509.9689314599751,2.36695
519.9683222729158,2.37365
529.9677130858565,2.3836500000000003
539.9671038987972,2.3896
549.9664947117378,2.3887
559.9658855246786,2.3948
569.9652763376192,2.40315
579.9646671505599,2.4106
589.9640579635006,2.4053500000000003
599.9634487764413,2.4206000000000003
609.962839589382,2.42695
619.9622304023227,2.4354500000000003
629.9616212152633,2.444
639.9610120282041,2.44875
649.9604028411447,2.45345
659.9597936540854,2.4599
669.9591844670261,2.45975
679.9585752799668,2.4701500000000003
689.9579660929076,2.4807
699.9573569058482,2.4972000000000003
709.9567477187888,2.5025
719.9561385317296,2.4962
729.9555293446703,2.5145500000000003
739.9549201576109,2.5428
749.9543109705517,2.53935
759.9537017834923,2.55755
769.9530925964331,2.5644
779.9524834093737,2.5751500000000003
789.9518742223144,2.55425
799.9512650352551,2.5712
809.9506558481958,2.5878
819.9500466611364,2.58245
829.9494374740772,2.6057
839.9488282870178,2.6018000000000003
849.9482190999586,2.59435
859.9476099128992,2.6034
869.9470007258399,2.6204
879.9463915387806,2.63015
889.9457823517213,2.63585
899.9451731646619,2.64065
909.9445639776027,2.6389
919.9439547905433,2.6596
929.943345603484,2.65735
939.9427364164247,2.6536
949.9421272293654,2.67895
959.9415180423061,2.67455
969.9409088552468,2.6707
979.9402996681874,2.68915
989.9396904811282,2.71735
999.9390812940688,2.7067
1009.9384721070095,2.7043
1019.9378629199502,2.6963500000000002
1029.937253732891,2.70955
1039.9366445458315,2.7342500000000003
1049.9360353587722,2.724
1059.935426171713,2.7302
1069.9348169846537,2.7321
1079.9342077975944,2.73115
1089.933598610535,2.7446
1099.9329894234756,2.7559500000000003
1109.9323802364165,2.72315
1119.9317710493572,2.7327000000000004
1129.9311618622978,2.7232000000000003
1139.9305526752385,2.7254
1149.929943488179,2.7303
1159.9293343011198,2.734
1169.9287251140606,2.75645
1179.9281159270013,2.7617000000000003
1189.927506739942,2.76765
1199.9268975528826,2.75875
1209.9262883658232,2.7579000000000002
1219.925679178764,2.7361
1229.9250699917047,2.7784
1239.9244608046454,2.7323
1249.923851617586,2.74765
1259.9232424305267,2.7849
1269.9226332434675,2.7938
