time_s,length_cm
9.972030441,0.121775769
19.94406088,0.197885624
29.91609132,0.258773509
39.88812176,0.319661393
49.8601522,0.395771248
59.83218265,0.441437162
69.80421309,0.502325046
79.77624353,0.547990959
89.74827397,0.578434901
99.72030441,0.624100815
109.6923348,0.654544757
119.6643653,0.684988699
129.6363957,0.715432641
139.6084262,0.730654612
149.5804566,0.745876583
159.5524871,0.776320526
169.5245175,0.791542497
179.4965479,0.806764468
189.4685784,0.83720841
199.4406088,0.83720841
209.4126393,0.867652352
219.3846697,0.882874323
229.3567001,0.882874323
239.3287306,0.898096294
249.300761,0.913318265
259.2727915,0.928540237
269.2448219,0.928540237
279.2168523,0.958984179
289.1888828,0.97420615
299.1609132,0.97420615
309.1329437,0.989428121
319.1049741,1.004650092
329.0770045,1.004650092
339.049035,1.019872063
349.0210654,1.035094034
358.9930959,1.050316005
368.9651263,1.035094034
378.9371568,1.065537976
388.9091872,1.080759947
398.8812176,1.065537976
408.8532481,1.080759947
418.8252785,1.080759947
428.797309,1.095981919
438.7693394,1.11120389
448.7413698,1.126425861
458.7134003,1.126425861
468.6854307,1.126425861
478.6574612,1.126425861
488.6294916,1.126425861
498.601522,1.126425861
508.5735525,1.126425861
518.5455829,1.126425861
528.5176134,1.126425861
538.4896438,1.141647832
548.4616742,1.141647832
558.4337047,1.126425861
568.4057351,1.141647832
578.3777656,1.141647832
588.349796,1.11120389
598.3218265,1.141647832
608.2938569,1.11120389
618.2658873,1.126425861
628.2379178,1.141647832
638.2099482,1.141647832
648.1819787,1.141647832
658.1540091,1.141647832
668.1260395,1.141647832
678.09807,1.141647832
688.0701004,1.141647832
698.0421309,1.141647832
708.0141613,1.141647832
717.9861917,1.141647832
727.9582222,1.141647832
737.9302526,1.141647832
747.9022831,1.141647832
757.8743135,1.141647832
767.8463439,1.141647832
777.8183744,1.141647832
787.7904048,1.141647832
797.7624353,1.141647832
807.7344657,1.141647832
817.7064962,1.141647832
827.6785266,1.141647832
837.650557,1.141647832
847.6225875,1.141647832
857.5946179,1.141647832
867.5666484,1.141647832
877.5386788,1.141647832
887.5107092,1.141647832
897.4827397,1.124864278
907.4547701,1.140065147
917.4268006,1.140065147
927.398831,1.140065147
937.3708614,1.140065147
947.3428919,1.140065147
957.3149223,1.140065147
967.2869528,1.140065147
977.2589832,1.140065147
987.2310136,1.140065147
997.2030441,1.140065147
1007.175075,1.140065147
1017.147105,1.140065147
1027.119135,1.140065147
1037.091166,1.140065147
1047.063196,1.140065147
1057.035227,1.140065147
1067.007257,1.140065147
1076.979288,1.140065147
1086.951318,1.140065147
1096.923348,1.140065147
1106.895379,1.140065147
1116.867409,1.140065147
1126.83944,1.140065147
1136.81147,1.140065147
1146.783501,1.124864278
1156.755531,1.140065147
1166.727562,1.140065147
1176.699592,1.140065147
1186.671622,1.124864278
1196.643653,1.124864278
1206.615683,1.140065147
1216.587714,1.140065147
1226.559744,1.140065147
1236.531775,1.124864278
1246.503805,1.124864278
1256.475836,1.124864278
1266.447866,1.124864278
1276.419896,1.124864278
1286.391927,1.124864278
1296.363957,1.124864278
1306.335988,1.124864278
1316.308018,1.124864278
1326.280049,1.124864278
1336.252079,1.124864278
1346.22411,1.124864278
1356.19614,1.124864278
1366.16817,1.140065147
1376.140201,1.140065147
1386.112231,1.140065147
1396.084262,1.124864278
1406.056292,1.124864278
1416.028323,1.124864278
1426.000353,1.140065147
1435.972383,1.124864278
1445.944414,1.124864278
1455.916444,1.124864278
1465.888475,1.124864278
1475.860505,1.124864278
1485.832536,1.124864278
1495.804566,1.124864278
1505.776597,1.124864278
1515.748627,1.124864278
1525.720657,1.124864278
1535.692688,1.124864278
1545.664718,1.124864278
1555.636749,1.140065147
1565.608779,1.124864278
1575.58081,1.124864278
1585.55284,1.124864278
1595.524871,1.124864278
1605.496901,1.140065147
1615.468931,1.124864278
1625.440962,1.140065147
1635.412992,1.124864278
1645.385023,1.140065147
1655.357053,1.124864278
1665.329084,1.140065147
1675.301114,1.124864278
1685.273145,1.124864278
1695.245175,1.124864278
1705.217205,1.124864278
1715.189236,1.124864278
1725.161266,1.124864278
1735.133297,1.124864278
1745.105327,1.124864278
1755.077358,1.124864278
1765.049388,1.140065147
1775.021418,1.124864278
1784.993449,1.124864278
1794.965479,1.124864278
1804.93751,1.140065147
1814.90954,1.124864278
1824.881571,1.124864278
1834.853601,1.109663409
1844.825632,1.109663409
1854.797662,1.124864278
1864.769692,1.124864278
1874.741723,1.124864278
1884.713753,1.124864278
1894.685784,1.124864278
1904.657814,1.124864278
1914.629845,1.124864278
1924.601875,1.124864278
1934.573906,1.124864278
